countryid,countryname
1,United Kingdom
2,Albania
3,Andorra
4,Austria
5,Belgium
6,Bulgaria
7,Croatia
8,Cyprus
9,Czech Republic
10,Denmark
11,Estonia
12,Faroe Islands
13,Finland
14,France
15,Germany
17,Greece
18,Hungary
19,Iceland
20,Israel
21,Italy
22,Latvia
23,Liechtenstein
24,Lithuania
25,Luxembourg
26,Netherlands
27,Norway
28,Poland
29,Portugal
30,Romania
31,Russia
32,San Marino
33,Slovakia
34,Slovenia
35,Spain
36,Sweden
37,Switzerland
38,Turkey
39,Ukraine
49,Malaysia
50,Argentina
51,South Africa
52,Australia
53,Canada
54,Taiwan
55,China
56,Brazil
57,New Zealand
58,Saudi Arabia
59,Afghanistan
60,Algeria
61,Armenia
62,Azerbaijan
63,Bahrain
64,Bangladesh
65,Belarus
66,Belize
67,Bolivia
68,Bosnia Herzegovina
69,Cambodia
70,Cameroon
71,Chile
72,Colombia
73,Costa Rica
74,Ecuador
75,Egypt
76,Gambia
77,Georgia
78,Ghana
79,Haiti
80,Honduras
81,Hong Kong
82,Japan
83,Kenya
84,South Korea
85,Kuwait
86,Lebanon
87,Macao
88,Macedonia
89,Martinique
90,Mauritania
91,Mexico
92,Monaco
93,Morocco
94,Mozambique
95,Namibia
96,Nigeria
97,Oman
98,Pakistan
99,Paraguay
100,Peru
101,Qatar
102,Reunion Island
103,Senegal
104,Seychelles Republic
105,Singapore
106,Solomon Islands
107,Syria
108,Thailand
109,Tanzania
110,Tunisia
111,United Arab Emirates
112,Uruguay
113,Uzbekistan
114,Venezuela
115,Yemen
116,Zambia
117,Ireland
118,United States of America 
119,Test Country
120,Malta
121,Serbia
122,Gibraltar
123,Montenegro
